SMILES,Mechanism
SSBrNPBrHBrClSClOCPIBrCPFBrISOI,1
POSOIFOClIOHCOONN,3
IClPFFCIIOCPPClIHPSBrClCl,0
IHCClFClCNFIFBrBrCN,4
CPPOHBrIFSFHBrP,3
ClISNSNFOBrOHIBrOFPHIINNHPClClNINS,4
SBrHOPNClIPF,4
BrFCFFBrFSSCl,2
SIHFFSSPNOFPClBrClSSSPNSF,1
PIIFCPBrClClOIPClOF,0
ClCHCCPOHPHClIHHCSFSPHCBr,2
PClCPCClBrOIBrSCBrSINSBrSSFFClCHBrClSO,1
NFOPHClONOFISBrClBrCBrHO,4
CFSFFCPClPClHIHOBrCFONPOCHFPONCH,3
FBrCPBrOBrBrClHNBrINPFNClSNSFPFSHBrNFI,4
NPNPSSIFBrCNIONClISNSIOSSFNPCF,0
BrClFClFHPISNClIClNCCHClIHOPCHSIH,1
SNHSHClBrOOPICCBrOSCONFClHFIPCl,2
NCNOPPNNNNOPBrFFSCOSISClSPNHIPOO,3
FNHHCClNClFCHSFOHCBrHHO,1
CHClCSCPCBrOCClIFNFNIPHHP,1
NSCClIBrSClBrHFNIFSF,0
BrFSCPONFHHOBrClCCSFSCBrFFClHHIOFOC,1
BrCBrCOBrPOHBrFSFOClNOOIF,3
PNBrPSClIHFHSClOCSFICClO,4
COOSSHHOSPICIHHHHNPHBrClIFIC,3
ICOPSHClNIOPSIHClSBrPBrNI,2
BrNPISFFNIPNBrPHFNFOFHICClHHCS,1
SFFClBrClCIIClCHBrH,2
CCCBrClCFPPNCIClFPOBrIOBrSF,2
FCClIFClFClCSClPNClClCNNFCHBrSIIIBrBrH,2
BrOICHIHClOIOIPOPBrOI,1
ClHNBrOOHBrSPCSPPNHClHBrCFPOIS,1
SFSHClPClONOFBrHCBrNHICHPBr,2
ISCHSPClOOFNSClISNF,1
OOCCHONHPSPFCClFOCHSNISSBrONS,2
ClClSPClPONBrN,4
PSIPHPClCIO,2
IIHIFClOClHFSOIOPFIICHFFBrCHCSN,1
PCIOCOIOHINCBrNFSCIFOHBrCO,0
IBrHCPNFOCP,3
FONCCPISPHSINClCC,3
CFCISBrNCHSPClSFN,3
OBrClOSClOFCFNHCIHClCIBrIBrOOSClOCO,3
FPFPBrPSPIIClCSClOPPNHCHBrFBr,2
FSFOPClHNSIIBrPOHBrCClClClSNOPHCl,2
SHIOPPOHHClIFSFHFBrIBr,2
CClPFBrPClIOIHHONOPOBrIS,1
SHHNSSClClONSClHSHFPClNS,3
IOIIONCSSPCNONNHHINPCl,1
BrPNHHOPOHHSSSClNClCBrI,2
NCHIIClClCSCSHSISFIION,1
COBrBrClBrPBrIOOOHC,3
OBrBrCSOBrBrSPOClCCClCIC,0
SPCFClHSHClHBrClClBrHFPHSOH,2
NNHIFOFBrSCIIF,1
PNSPIHSCIPSHOSCCICPFCClBrINFN,1
HNSIOOONCBrBrClIHCOCSNOSCOHFO,1
PCFNBrFFPCSCFH,2
ONCHCPClPFHSNIIOIHNIPSClHOHBrPS,2
FPOHFOPPNFPCCNOHSS,1
PPPICBrFClIHH,4
FNCFHHClHOH,4
NHClCPBrIHFFHNPBrHNOSNON,0
ONBrSClHHIOHOFBrSClNCl,3
FFHHPCSCCNCIIIFNS,4
FHClBrOClOHIBrBrClNCClOPNPHPFSNIOP,0
BrHNSNNClHIBrBrBrClSClFClPON,0
BrOPOCONFHH,1
CSBrHSFClSOBrCIClICClPIHBrClClOHCIPFNP,3
ClSHNIFIPCISOOFFSOPClN,4
HHPCOBrOBrOClPFPFNHBrSP,3
BrICBrOIBrPBrBrONClCPOOSISHOFSCBrISBr,0
SPOCBrNNClHPClBrPSPIHOI,0
HIBrOCHHPClNPClSCCCOHNNBrHIBrONCNP,4
SBrBrPCClPHPICSPCClHSCClIPFClCOFBrOIO,0
ClPClFISPPBrFPNHSFFFPClNHNClFNClPHOH,2
SClCBrNNBrNOOPClFCCl,1
ClIOPICNBrNIFPHClSClPPSHPIPPCINSClF,4
OBrHNClNIIOFNBrCClC,1
HIOFPIBrCClBrFIIBrHPSFClCONH,3
SHClOFHPClPIClCSCO,3
PPICSSBrOPClCCCClClFFClNC,1
ISICBrBrPPISPClHBrClBrIFClBr,2
BrCOOCNSHSCHFClPCBr,2
IClFOINCNNICSFNSSIFCHCHIClClSNP,0
NNClSIOPSNBrNPClIHIHHCClHBrClClPIS,1
HFFClBrPNSCIIOBrPIFBrNH,3
ClClPOPCOCClFHPFCFOHFBrSCFIPBrPCO,1
FSFBrFIFCFFIIIFIBrFNNNPClClHPClSFFC,1
SOCCFIINHOCSSHBrClCBrBrOClPClBrPOOBrS,1
ClNSBrFSINHOOClBr,3
SNNHNIOIOClBr,2
NPHPONOSOFIBrNIClINHNIClCN,4
BrPONFSFHONPSIS,1
PFNSFOClINNNNOCNOCHIOOIFFIISH,4
ICBrISHISClOClINOBrOPI,4
ClCClIBrOPIPPCFFHNCINHPPNPBr,1
NFNFClFSONHOHNIOPNS,1
PHOSIBrSHClCCSFONBrHClPOH,1
